Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
2L:3000000..3100000      	3.55      	3.56      	3.57      	0.94      	1.06      	1.06
2L:3100000..3200000      	3.57      	3.58      	3.59      	1.06      	6.92      	6.92
2L:3200000..3300000      	3.59      	3.60      	3.61      	6.92      	2.35      	2.35
2L:3300000..3400000      	3.61      	3.62      	3.63      	2.35      	2.35      	2.35
2L:3400000..3500000      	3.63      	3.64      	3.66      	2.35      	5.04      	5.04
2L:3500000..3600000      	3.66      	3.67      	3.68      	5.04      	4.22      	4.22
2L:3600000..3700000      	3.68      	3.68      	3.69      	4.22      	1.88      	1.88
2L:3700000..3800000      	3.69      	3.70      	3.71      	1.88      	3.64      	3.64
2L:3800000..3900000      	3.71      	3.72      	3.73      	3.64      	7.51      	7.51
2L:3900000..4000000      	3.73      	3.74      	3.75      	7.51      	7.39      	7.39
2L:4000000..4100000      	3.75      	3.76      	3.77      	7.39      	6.68      	6.68
2L:4100000..4200000      	3.77      	3.78      	3.78      	6.68      	3.64      	3.64
2L:4200000..4300000      	3.78      	3.79      	3.80      	3.64      	7.27      	7.27
2L:4300000..4400000      	3.80      	3.81      	3.81      	7.27      	5.75      	5.75
2L:4400000..4500000      	3.81      	3.82      	3.83      	5.75      	4.10      	4.10
2L:4500000..4600000      	3.83      	3.84      	3.84      	4.10      	1.88      	1.88
2L:4600000..4700000      	3.84      	3.85      	3.86      	1.88      	1.76      	1.76
2L:4700000..4800000      	3.86      	3.86      	3.87      	1.76      	5.16      	5.16
2L:4800000..4900000      	3.87      	3.88      	3.88      	5.16      	9.50      	9.50
2L:4900000..5000000      	3.88      	3.89      	3.90      	9.50      	6.33      	6.33
2L:5000000..5100000      	3.90      	3.90      	3.91      	6.33      	5.51      	5.51
2L:5100000..5200000      	3.91      	3.91      	3.92      	5.51      	3.52      	3.52
2L:5200000..5300000      	3.92      	3.92      	3.93      	3.52      	7.04      	7.04
2L:5300000..5400000      	3.93      	3.93      	3.94      	7.04      	1.88      	1.88
2L:5400000..5500000      	3.94      	3.94      	3.95      	1.88      	3.17      	3.17
2L:5500000..5600000      	3.95      	3.95      	3.96      	3.17      	4.22      	4.22
2L:5600000..5700000      	3.96      	3.96      	3.96      	4.22      	2.11      	2.11
2L:5700000..5800000      	3.96      	3.97      	3.97      	2.11      	1.29      	1.29
2L:5800000..5900000      	3.97      	3.97      	3.98      	1.29      	1.52      	1.52
2L:5900000..6000000      	3.98      	3.98      	3.98      	1.52      	2.23      	2.23
2L:6000000..6100000      	3.98      	3.99      	3.99      	2.23      	2.35      	2.35
2L:6100000..6200000      	3.99      	3.99      	3.99      	2.35      	1.29      	1.29
2L:6200000..6300000      	3.99      	4.00      	4.00      	1.29      	4.57      	4.57
2L:6300000..6400000      	4.00      	4.00      	4.00      	4.57      	3.05      	3.05
2L:6400000..6500000      	4.00      	4.00      	4.01      	3.05      	3.99      	3.99
2L:6500000..6600000      	4.01      	4.01      	4.01      	3.99      	3.40      	3.40
2L:6600000..6700000      	4.01      	4.01      	4.01      	3.40      	3.75      	3.75
2L:6700000..6800000      	4.01      	4.01      	4.01      	3.75      	1.52      	1.52
2L:6800000..6900000      	4.01      	4.01      	4.01      	1.52      	3.52      	3.52
2L:6900000..7000000      	4.01      	4.01      	4.01      	3.52      	1.88      	1.88
2L:7000000..7100000      	4.01      	4.01      	4.01      	1.88      	10.20      	10.20
2L:7100000..7200000      	4.01      	4.01      	4.01      	10.20      	3.99      	3.99
2L:7200000..7300000      	4.01      	4.01      	4.01      	3.99      	2.70      	2.70
2L:7300000..7400000      	4.01      	4.01      	4.01      	2.70      	2.46      	2.46
2L:7400000..7500000      	4.01      	4.01      	4.01      	2.46      	1.64      	1.64
2L:7500000..7600000      	4.01      	4.01      	4.00      	1.64      	2.58      	2.58
2L:7600000..7700000      	4.00      	4.00      	4.00      	2.58      	2.11      	2.11
2L:7700000..7800000      	4.00      	4.00      	4.00      	2.11      	2.35      	2.35
2L:7800000..7900000      	4.00      	3.99      	3.99      	2.35      	1.52      	1.52
2L:7900000..8000000      	3.99      	3.99      	3.99      	1.52      	8.68      	8.68
2L:8000000..8100000      	3.99      	3.98      	3.98      	8.68      	3.99      	3.99
2L:8100000..8200000      	3.98      	3.98      	3.97      	3.99      	6.22      	6.22
2L:8200000..8300000      	3.97      	3.97      	3.97      	6.22      	3.28      	3.28
2L:8300000..8400000      	3.97      	3.96      	3.96      	3.28      	3.28      	3.28
2L:8400000..8500000      	3.96      	3.96      	3.95      	3.28      	2.35      	2.35
2L:8500000..8600000      	3.95      	3.95      	3.94      	2.35      	4.81      	4.81
2L:8600000..8700000      	3.94      	3.94      	3.93      	4.81      	3.40      	3.40
2L:8700000..8800000      	3.93      	3.93      	3.92      	3.40      	1.41      	1.41
2L:8800000..8900000      	3.92      	3.92      	3.91      	1.41      	2.81      	2.81
2L:8900000..9000000      	3.91      	3.91      	3.90      	2.81      	4.22      	4.22
2L:9000000..9100000      	3.90      	3.90      	3.89      	4.22      	1.52      	1.52
2L:9100000..9200000      	3.89      	3.88      	3.88      	1.52      	2.35      	2.35
2L:9200000..9300000      	3.88      	3.87      	3.86      	2.35      	2.46      	2.46
2L:9300000..9400000      	3.86      	3.86      	3.85      	2.46      	0.12      	0.12
2L:9400000..9500000      	3.85      	3.84      	3.84      	0.12      	2.35      	2.35
2L:9500000..9600000      	3.84      	3.83      	3.82      	2.35      	4.93      	4.93
2L:9600000..9700000      	3.82      	3.82      	3.81      	4.93      	3.17      	3.17
2L:9700000..9800000      	3.81      	3.80      	3.79      	3.17      	4.34      	4.34
2L:9800000..9900000      	3.79      	3.78      	3.78      	4.34      	5.39      	5.39
2L:9900000..10000000      	3.78      	3.77      	3.76      	5.39      	1.52      	1.52
2L:10000000..10100000      	3.76      	3.75      	3.74      	1.52      	8.09      	8.09
2L:10100000..10200000      	3.74      	3.73      	3.72      	8.09      	9.50      	9.50
2L:10200000..10300000      	3.72      	3.71      	3.70      	9.50      	6.57      	6.57
2L:10300000..10400000      	3.70      	3.70      	3.69      	6.57      	3.64      	3.64
2L:10400000..10500000      	3.69      	3.68      	3.67      	3.64      	3.28      	3.28
2L:10500000..10600000      	3.67      	3.66      	3.65      	3.28      	3.87      	3.87
2L:10600000..10700000      	3.65      	3.64      	3.62      	3.87      	2.81      	2.81
2L:10700000..10800000      	3.62      	3.61      	3.60      	2.81      	3.40      	3.40
2L:10800000..10900000      	3.60      	3.59      	3.58      	3.40      	2.70      	2.70
2L:10900000..11000000      	3.58      	3.57      	3.56      	2.70      	2.93      	2.93
2L:11000000..11100000      	3.56      	3.55      	3.54      	2.93      	3.99      	3.99
2L:11100000..11200000      	3.54      	3.52      	3.51      	3.99      	2.11      	2.11
2L:11200000..11300000      	3.51      	3.50      	3.49      	2.11      	1.88      	1.88
2L:11300000..11400000      	3.49      	3.47      	3.46      	1.88      	2.35      	2.35
2L:11400000..11500000      	3.46      	3.45      	3.44      	2.35      	1.17      	1.17
2L:11500000..11600000      	3.44      	3.42      	3.41      	1.17      	0.94      	0.94
2L:11600000..11700000      	3.41      	3.40      	3.38      	0.94      	1.41      	1.41
2L:11700000..11800000      	3.38      	3.37      	3.36      	1.41      	1.41      	1.41
2L:11800000..11900000      	3.36      	3.34      	3.33      	1.41      	1.99      	1.99
2L:11900000..12000000      	3.33      	3.31      	3.30      	1.99      	2.23      	2.23
2L:12000000..12100000      	3.30      	3.29      	3.27      	2.23      	2.93      	2.93
2L:12100000..12200000      	3.27      	3.26      	3.24      	2.93      	4.22      	4.22
2L:12200000..12300000      	3.24      	3.23      	3.21      	4.22      	7.62      	7.62
2L:12300000..12400000      	3.21      	3.20      	3.18      	7.62      	2.11      	2.11
2L:12400000..12500000      	3.18      	3.17      	3.15      	2.11      	1.76      	1.76
2L:12500000..12600000      	3.15      	3.13      	3.12      	1.76      	5.16      	5.16
2L:12600000..12700000      	3.12      	3.10      	3.09      	5.16      	7.51      	7.51
2L:12700000..12800000      	3.09      	3.07      	3.05      	7.51      	3.05      	3.05
2L:12800000..12900000      	3.05      	3.04      	3.02      	3.05      	1.99      	1.99
2L:12900000..13000000      	3.02      	3.00      	2.98      	1.99      	1.29      	1.29
2L:13000000..13100000      	2.98      	2.97      	2.95      	1.29      	2.93      	2.93
2L:13100000..13200000      	2.95      	2.93      	2.91      	2.93      	5.04      	5.04
2L:13200000..13300000      	2.91      	2.90      	2.88      	5.04      	0.94      	0.94
2L:13300000..13400000      	2.88      	2.86      	2.84      	0.94      	0.82      	0.82
2L:13400000..13500000      	2.84      	2.82      	2.80      	0.82      	1.88      	1.88
2L:13500000..13600000      	2.80      	2.79      	2.77      	1.88      	3.64      	3.64
2L:13600000..13700000      	2.77      	2.75      	2.73      	3.64      	1.99      	1.99
2L:13700000..13800000      	2.73      	2.71      	2.69      	1.99      	3.99      	3.99
2L:13800000..13900000      	2.69      	2.67      	2.65      	3.99      	2.23      	2.23
2L:13900000..14000000      	2.65      	2.63      	2.61      	2.23      	1.64      	1.64
2L:14000000..14100000      	2.61      	2.59      	2.57      	1.64      	3.17      	3.17
2L:14100000..14200000      	2.57      	2.55      	2.53      	3.17      	1.88      	1.88
2L:14200000..14300000      	2.53      	2.51      	2.49      	1.88      	1.99      	1.99
2L:14300000..14400000      	2.49      	2.47      	2.45      	1.99      	1.64      	1.64
2L:14400000..14500000      	2.45      	2.42      	2.40      	1.64      	6.22      	6.22
2L:14500000..14600000      	2.40      	2.38      	2.36      	6.22      	1.17      	1.17
2L:14600000..14700000      	2.36      	2.34      	2.31      	1.17      	3.75      	3.75
2L:14700000..14800000      	2.31      	2.29      	2.27      	3.75      	1.06      	1.06
2L:14800000..14900000      	2.27      	2.25      	2.23      	1.06      	1.64      	1.64
2L:14900000..15000000      	2.23      	2.20      	2.18      	1.64      	1.17      	1.17
2L:15000000..15100000      	2.18      	2.16      	2.13      	1.17      	1.17      	1.17
2L:15100000..15200000      	2.13      	2.11      	2.09      	1.17      	0.94      	0.94
2L:15200000..15300000      	2.09      	2.06      	2.04      	0.94      	3.75      	3.75
2L:15300000..15400000      	2.04      	2.01      	1.99      	3.75      	1.64      	1.64
2L:15400000..15500000      	1.99      	1.97      	1.94      	1.64      	1.52      	1.52
2L:15500000..15600000      	1.94      	1.92      	1.89      	1.52      	0.59      	0.59
2L:15600000..15700000      	1.89      	1.87      	1.84      	0.59      	2.11      	2.11
2L:15700000..15800000      	1.84      	1.82      	1.79      	2.11      	1.06      	1.06
2L:15800000..15900000      	1.79      	1.77      	1.74      	1.06      	0.23      	0.23
2L:15900000..16000000      	1.74      	1.72      	1.69      	0.23      	0.82      	0.82
2L:16000000..16100000      	1.69      	1.66      	1.64      	0.82      	0.47      	0.47
2L:16100000..16200000      	1.64      	1.61      	1.59      	0.47      	0.70      	0.70
2L:16200000..16300000      	1.59      	1.56      	1.53      	0.70      	1.52      	1.52
2L:16300000..16400000      	1.53      	1.51      	1.48      	1.52      	3.52      	3.52
2L:16400000..16500000      	1.48      	1.45      	1.42      	3.52      	3.99      	3.99
2L:16500000..16600000      	1.42      	1.40      	1.37      	3.99      	3.87      	3.87
2L:16600000..16700000      	1.37      	1.34      	1.31      	3.87      	2.81      	2.81
2L:16700000..16800000      	1.31      	1.29      	1.26      	2.81      	4.22      	4.22
2L:16800000..16900000      	1.26      	1.23      	1.20      	4.22      	1.64      	1.64
2L:16900000..17000000      	1.20      	1.17      	1.14      	1.64      	5.63      	5.63
2L:17000000..17100000      	1.14      	1.11      	1.09      	5.63      	1.99      	1.99
2L:17100000..17200000      	1.09      	1.06      	1.03      	1.99      	1.52      	1.52
2L:17200000..17300000      	1.03      	1.00      	0.97      	1.52      	2.35      	2.35
2L:17300000..17400000      	0.97      	0.94      	0.91      	2.35      	1.17      	1.17
2L:17400000..17500000      	0.91      	0.88      	0.85      	1.17      	1.64      	1.64
2L:17500000..17600000      	0.85      	0.82      	0.79      	1.64      	0.12      	0.12
2L:17600000..17700000      	0.79      	0.76      	0.73      	0.12      	0.12      	0.12
2L:17700000..17800000      	0.73      	0.70      	0.66      	0.12      	0.47      	0.47
2L:17800000..17900000      	0.66      	0.63      	0.60      	0.47      	0.47      	0.47
2L:17900000..18000000      	0.60      	0.57      	0.54      	0.47      	1.99      	1.99
2L:18000000..18100000      	0.54      	0.51      	0.48      	1.99      	0.94      	0.94
2L:18100000..18200000      	0.48      	0.44      	0.41      	0.94      	0.70      	0.70
2L:18200000..18300000      	0.41      	0.38      	0.35      	0.70      	0.47      	0.47
2L:18300000..18400000      	0.35      	0.31      	0.28      	0.47      	0.35      	0.35
2L:18400000..18500000      	0.28      	0.25      	0.21      	0.35      	0.23      	0.23
2L:18500000..18600000      	0.21      	0.18      	0.15      	0.23      	0.23      	0.23
2L:18600000..18700000      	0.15      	0.11      	0.08      	0.23      	0.23      	0.23
2L:18700000..18800000      	0.08      	0.05      	0.01      	0.23      	0.23      	0.23
2L:18800000..18900000      	0.01      	0.00      	0.00      	0.23      	1.41      	1.41
2L:18900000..19000000      	0.00      	0.00      	0.00      	1.41      	0.12      	0.12
2L:19000000..19100000      	0.00      	0.00      	0.00      	0.12      	0.12      	0.12
2L:19100000..19200000      	0.00      	0.00      	0.00      	0.12      	0.47      	0.47
2L:19200000..19300000      	0.00      	0.00      	0.00      	0.47      	0.47      	0.47
2L:19300000..19400000      	0.00      	0.00      	0.00      	0.47      	0.00      	0.00
2L:19400000..19500000      	0.00      	0.00      	0.00      	0.00      	0.35      	0.35
2L:19500000..19600000      	0.00      	0.00      	0.00      	0.35      	0.12      	0.12
2L:19600000..19700000      	0.00      	0.00      	0.00      	0.12      	0.23      	0.23
2L:19700000..19800000      	0.00      	0.00      	0.00      	0.23      	0.12      	0.12
2L:19800000..19900000      	0.00      	0.00      	0.00      	0.12      	1.17      	1.17
2L:19900000..20000000      	0.00      	0.00      	0.00      	1.17      	0.23      	0.23
2L:20000000..20100000      	0.00      	0.00      	0.00      	0.23      	0.59      	0.59
2L:20100000..20200000      	0.00      	0.00      	0.00      	0.59      	0.12      	0.12
2L:20200000..20300000      	0.00      	0.00      	0.00      	0.12      	0.23      	0.23
2L:20300000..20400000      	0.00      	0.00      	0.00      	0.23      	0.00      	0.00
2L:20400000..20500000      	0.00      	0.00      	0.00      	0.00      	0.23      	0.23
2L:20500000..20600000      	0.00      	0.00      	0.00      	0.23      	0.70      	0.70
2L:20600000..20700000      	0.00      	0.00      	0.00      	0.70      	0.35      	0.35
2L:20700000..20800000      	0.00      	0.00      	0.00      	0.35      	0.23      	0.23
2L:20800000..20900000      	0.00      	0.00      	0.00      	0.23      	0.00      	0.00
2L:20900000..21000000      	0.00      	0.00      	0.00      	0.00      	2.35      	2.35
2L:21000000..21100000      	0.00      	0.00      	0.00      	2.35      	1.17      	1.17
2L:21100000..21200000      	0.00      	0.00      	0.00      	1.17      	0.35      	0.35
2L:21200000..21300000      	0.00      	0.00      	0.00      	0.35      	0.12      	0.12
2L:21300000..21400000      	0.00      	0.00      	0.00      	0.12      	0.12      	0.12
2L:21400000..21500000      	0.00      	0.00      	0.00      	0.12      	0.00      	0.00
2L:21500000..21600000      	0.00      	0.00      	0.00      	0.00      	0.35      	0.35
2L:21600000..21700000      	0.00      	0.00      	0.00      	0.35      	0.00      	0.00
2L:21700000..21800000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2L:21800000..21900000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2L:21900000..22000000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2L:22000000..22100000      	0.00      	0.00      	0.00      	0.00      	0.12      	0.12
2L:22100000..22200000      	0.00      	0.00      	0.00      	0.12      	0.00      	0.00
2L:22200000..22300000      	0.00      	0.00      	0.00      	0.00      	2.81      	2.81
2L:22300000..22400000      	0.00      	0.00      	0.00      	2.81      	3.87      	3.87
2L:22400000..22500000      	0.00      	0.00      	0.00      	3.87      	0.35      	0.35
2L:22500000..22600000      	0.00      	0.00      	0.00      	0.35      	0.12      	0.12
2L:22600000..22700000      	0.00      	0.00      	0.00      	0.12      	0.00      	0.00
2L:22700000..22800000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2L:22800000..22900000      	0.00      	0.00      	0.00      	0.00      	0.23      	0.23
2L:22900000..23000000      	0.00      	0.00      	0.00      	0.23      	0.00      	0.00
